model,pl,gl,cl,mqts,bs,cpl,configuration,precision,e2e_processed_tok_sec,prev_e2e_processed_tok_sec,e2e_processed_tok_sec_delta,tag,config_id,execution_mode,sdk_version,platform,tools,customer_id,model_url,input_size,model_framework,branch,customer,max_nsp,apps_version,platform_version,sdk_id,last_rel_sdk,jira_number,qpc_size_GB,compile_time,cores,curr_decode_tok_sec,curr_prefill_tok_sec,curr_total_tok_sec,curr_tpot_ms,curr_ttft_ms,decode_tok_sec_delta,dfs,host_app,instances,mos,ols,prefill_tok_sec_delta,prev_decode_tok_sec,prev_prefill_tok_sec,prev_total_tok_sec,prev_tpot_ms,prev_ttft_ms,tdp,total_tok_sec_delta,tpot_ms_delta,ttft_ms_delta,system_os,num_cards,status,failure_cause,is_regressed_decode,is_regressed_prefill,is_regressed_total,is_regressed_tpot,is_regressed_ttft,regression_code,avg_latency_sec,e2e_generated_tok_sec,prev_e2e_generated_tok_sec,prev_avg_latency_sec,e2e_generated_tok_sec_delta,avg_latency_sec_delta,is_regressed_e2e_processed_tok_sec,is_regressed_e2e_generated_tok_sec,is_regressed_avg_latency_sec,derated_ttft(sec),derated_decode_tpt(tok/sec),derated_e2e_tpt(tok/sec),execution_time,derated_decode_tpt_per_card(tok/sec),derated_e2e_tpt_per_card(tok/sec),total_token_throughput_tok_sec,mean_ttft_sec,prev_total_token_throughput_sec,prev_mean_ttft_sec,total_token_throughput_sec_delta,mean_ttft_sec_delta,is_regressed_total_token_throughput_sec,is_regressed_mean_ttft_sec,e2e_tok_sec,prev_e2e_tok_sec,e2e_tok_sec_delta,is_regressed_e2e,average_ttft(sec),prev_avg_ttft_sec,avg_ttft_sec_delta,is_regressed_avg_ttft_sec,request_throughput(req/s),output_token_throughput(tok/s),mean_tpot(ms),mean_itl(ms),prev_request_throughput_req_sec,prev_output_token_throughput_tok_sec,prev_mean_tpot_ms,prev_mean_itl_ms,is_regressed_request_throughput_req_sec,is_regressed_output_token_throughput_tok_sec,is_regressed_mean_tpot_ms,is_regressed_mean_itl_ms,request_throughput_req_sec_delta,output_token_throughput_tok_sec_delta,mean_tpot_ms_delta,mean_itl_ms_delta,median_dram_utilization_%,median_dram_bw_KBps,model_load_time(sec),prev_sdk_value,prev_sdk_branch
Jais-adapted-13b-chat,128,128,256,4,1,128,P2P,mx6,43.07,-,-,"cloud,LLM-KV-cache,1QPC,qnn_release",Jais-adapted-13b-chat-onnx-precision-mx6-bs-1-mos-default-ols-default-inst-1-bs-1-cl-256-gl-128-pl-128-cores-16,Linear_BS_mode,AIC.1.20.0.106_apps_AIC.1.20.0.106_platform,Gigabyte_16NSP_Ultra,vllm_dataset,137013,https://huggingface.co/inceptionai/jais-adapted-13b-chat,NA,onnx,master,,,AIC.1.20.0.106_apps,AIC.1.20.0.106_platform,9420,AIC.1.19.1.27_apps_AIC.1.19.1.27_platform,-,14.45, 04:36:01,16,,,,,,,True,LLM-KV-Perf,1,NA,NA,,,,,,,,,,,ubuntu,,PASS,,,,,,,,,,,,,,0.0,,,,,,00:06:43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.76,155184.0,39.0,AIC.1.20.0.100_apps_AIC.1.20.0.100_platform,master
Jais-adapted-13b-chat,128,128,256,4,8,128,P2P,mx6,228.65,-,-,"cloud,LLM-KV-cache,1QPC,qnn_release",Jais-adapted-13b-chat-onnx-precision-mx6-bs-8-mos-default-ols-default-inst-1-bs-8-cl-256-gl-128-pl-128-cores-16,Linear_BS_mode,AIC.1.20.0.106_apps_AIC.1.20.0.106_platform,Gigabyte_16NSP_Ultra,vllm_dataset,137016,https://huggingface.co/inceptionai/jais-adapted-13b-chat,NA,onnx,master,,,AIC.1.20.0.106_apps,AIC.1.20.0.106_platform,9420,AIC.1.19.1.27_apps_AIC.1.19.1.27_platform,-,14.46, 04:34:47,16,,,,,,,True,LLM-KV-Perf,1,NA,NA,,,,,,,,,,,ubuntu,,PASS,,,,,,,,,,,,,,0.0,,,,,,00:02:26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.76,155184.0,37.0,AIC.1.20.0.100_apps_AIC.1.20.0.100_platform,master
Jais-adapted-13b-chat,128,128,256,4,16,128,P2P,mx6,298.02,-,-,"cloud,LLM-KV-cache,1QPC,qnn_release",Jais-adapted-13b-chat-onnx-precision-mx6-bs-16-mos-default-ols-default-inst-1-bs-16-cl-256-gl-128-pl-128-cores-16,Linear_BS_mode,AIC.1.20.0.106_apps_AIC.1.20.0.106_platform,Gigabyte_16NSP_Ultra,vllm_dataset,137019,https://huggingface.co/inceptionai/jais-adapted-13b-chat,NA,onnx,master,,,AIC.1.20.0.106_apps,AIC.1.20.0.106_platform,9420,AIC.1.19.1.27_apps_AIC.1.19.1.27_platform,-,12.03, 03:53:34,16,,,,,,,True,LLM-KV-Perf,1,NA,NA,,,,,,,,,,,ubuntu,,PASS,,,,,,,,,,,,,,0.0,,,,,,00:02:06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.76,155184.0,35.0,AIC.1.20.0.100_apps_AIC.1.20.0.100_platform,master
Jais-adapted-13b-chat,128,128,256,4,32,128,P2P,mx6,448.15,-,-,"cloud,LLM-KV-cache,1QPC,qnn_release",Jais-adapted-13b-chat-onnx-precision-mx6-bs-32-mos-default-ols-default-inst-1-bs-32-cl-256-gl-128-pl-128-cores-16,Linear_BS_mode,AIC.1.20.0.106_apps_AIC.1.20.0.106_platform,Gigabyte_16NSP_Ultra,vllm_dataset,137022,https://huggingface.co/inceptionai/jais-adapted-13b-chat,NA,onnx,master,,,AIC.1.20.0.106_apps,AIC.1.20.0.106_platform,9420,AIC.1.19.1.27_apps_AIC.1.19.1.27_platform,-,12.09, 03:55:29,16,,,,,,,True,LLM-KV-Perf,1,NA,NA,,,,,,,,,,,ubuntu,,PASS,,,,,,,,,,,,,,0.0,,,,,,00:02:08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.76,155184.0,34.0,AIC.1.20.0.100_apps_AIC.1.20.0.100_platform,master
Jais-adapted-13b-chat,2048,2048,4096,4,1,128,P2P,mx6,63.58,-,-,"cloud,LLM-KV-cache,1QPC,qnn_release",Jais-adapted-13b-chat-onnx-precision-mx6-bs-1-mos-default-ols-default-inst-1-bs-1-cl-4096-gl-2048-pl-2048-cores-16,Linear_BS_mode,AIC.1.20.0.106_apps_AIC.1.20.0.106_platform,Gigabyte_16NSP_Ultra,vllm_dataset,136998,https://huggingface.co/inceptionai/jais-adapted-13b-chat,NA,onnx,master,,,AIC.1.20.0.106_apps,AIC.1.20.0.106_platform,9420,AIC.1.19.1.27_apps_AIC.1.19.1.27_platform,-,14.49, 04:35:47,16,,,,,,,True,LLM-KV-Perf,1,NA,NA,,,,,,,,,,,ubuntu,,PASS,,,,,,,,,,,,,,0.0,,,,,,00:16:08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.76,155184.0,26.0,AIC.1.20.0.100_apps_AIC.1.20.0.100_platform,master
Jais-adapted-13b-chat,2048,2048,4096,4,4,128,P2P,mx6,156.2,-,-,"cloud,LLM-KV-cache,1QPC,qnn_release",Jais-adapted-13b-chat-onnx-precision-mx6-bs-4-mos-default-ols-default-inst-1-bs-4-cl-4096-gl-2048-pl-2048-cores-16,Linear_BS_mode,AIC.1.20.0.106_apps_AIC.1.20.0.106_platform,Gigabyte_16NSP_Ultra,vllm_dataset,137001,https://huggingface.co/inceptionai/jais-adapted-13b-chat,NA,onnx,master,,,AIC.1.20.0.106_apps,AIC.1.20.0.106_platform,9420,AIC.1.19.1.27_apps_AIC.1.19.1.27_platform,-,14.51, 04:32:16,16,,,,,,,True,LLM-KV-Perf,1,NA,NA,,,,,,,,,,,ubuntu,,PASS,,,,,,,,,,,,,,0.0,,,,,,00:07:24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.76,155184.0,31.0,AIC.1.20.0.100_apps_AIC.1.20.0.100_platform,master
Jais-adapted-13b-chat,2048,2048,4096,4,8,128,P2P,mx6,264.67,-,-,"cloud,LLM-KV-cache,1QPC,qnn_release",Jais-adapted-13b-chat-onnx-precision-mx6-bs-8-mos-default-ols-default-inst-1-bs-8-cl-4096-gl-2048-pl-2048-cores-16,Linear_BS_mode,AIC.1.20.0.106_apps_AIC.1.20.0.106_platform,Gigabyte_16NSP_Ultra,vllm_dataset,137004,https://huggingface.co/inceptionai/jais-adapted-13b-chat,NA,onnx,master,,,AIC.1.20.0.106_apps,AIC.1.20.0.106_platform,9420,AIC.1.19.1.27_apps_AIC.1.19.1.27_platform,-,14.53, 04:38:39,16,,,,,,,True,LLM-KV-Perf,1,NA,NA,,,,,,,,,,,ubuntu,,PASS,,,,,,,,,,,,,,0.0,,,,,,00:04:50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.76,155184.0,26.0,AIC.1.20.0.100_apps_AIC.1.20.0.100_platform,master
Jais-adapted-13b-chat,2048,2048,4096,4,16,128,P2P,mx6,188.29,-,-,"cloud,LLM-KV-cache,1QPC,qnn_release",Jais-adapted-13b-chat-onnx-precision-mx6-bs-16-mos-default-ols-default-inst-1-bs-16-cl-4096-gl-2048-pl-2048-cores-16,Linear_BS_mode,AIC.1.20.0.106_apps_AIC.1.20.0.106_platform,Gigabyte_16NSP_Ultra,vllm_dataset,137007,https://huggingface.co/inceptionai/jais-adapted-13b-chat,NA,onnx,master,,,AIC.1.20.0.106_apps,AIC.1.20.0.106_platform,9420,AIC.1.19.1.27_apps_AIC.1.19.1.27_platform,-,12.07, 03:57:48,16,,,,,,,True,LLM-KV-Perf,1,NA,NA,,,,,,,,,,,ubuntu,,PASS,,,,,,,,,,,,,,0.0,,,,,,00:06:12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.76,155184.0,25.0,AIC.1.20.0.100_apps_AIC.1.20.0.100_platform,master
Jais-adapted-13b-chat,2048,2048,4096,4,32,128,P2P,mx6,429.96,-,-,"cloud,LLM-KV-cache,1QPC,qnn_release",Jais-adapted-13b-chat-onnx-precision-mx6-bs-32-mos-default-ols-default-inst-1-bs-32-cl-4096-gl-2048-pl-2048-cores-16,Linear_BS_mode,AIC.1.20.0.106_apps_AIC.1.20.0.106_platform,Gigabyte_16NSP_Ultra,vllm_dataset,137010,https://huggingface.co/inceptionai/jais-adapted-13b-chat,NA,onnx,master,,,AIC.1.20.0.106_apps,AIC.1.20.0.106_platform,9420,AIC.1.19.1.27_apps_AIC.1.19.1.27_platform,-,12.09, 04:15:27,16,,,,,,,True,LLM-KV-Perf,1,NA,NA,,,,,,,,,,,ubuntu,,PASS,,,,,,,,,,,,,,0.0,,,,,,00:04:38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.76,155184.0,20.0,AIC.1.20.0.100_apps_AIC.1.20.0.100_platform,master
Jais-adapted-70B,128,128,256,8,1,128,P2P,mx6,14.96,-,-,"cloud,LLM-KV-cache,1QPC,qnn_release",Jais-adapted-70B-onnx-precision-mx6-bs-1-mos-default-ols-default-inst-1-bs-1-cl-256-gl-128-pl-128-cores-16,Linear_BS_mode,AIC.1.20.0.106_apps_AIC.1.20.0.106_platform,Gigabyte_16NSP_Ultra,vllm_dataset,134811,https://huggingface.co/inceptionai/jais-adapted-70b,NA,onnx,master,,,AIC.1.20.0.106_apps,AIC.1.20.0.106_platform,9420,AIC.1.19.1.27_apps_AIC.1.19.1.27_platform,-,66.25, 02:07:37,16,,,,,,,True,LLM-KV-Perf,1,NA,NA,,,,,,,,,,,ubuntu,,PASS,,,,,,,,,,,,,,0.0,,,,,,00:19:19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.405,37710688.0,168.0,AIC.1.20.0.100_apps_AIC.1.20.0.100_platform,master
