model,pl,gl,cl,mqts,bs,cpl,configuration,precision,e2e_generated_tok_sec,prev_e2e_generated_tok_sec,e2e_generated_tok_sec_delta,e2e_processed_tok_sec,prev_e2e_processed_tok_sec,e2e_processed_tok_sec_delta,average_ttft(sec),prev_avg_ttft_sec,avg_ttft_sec_delta,tag,config_id,execution_mode,sdk_version,platform,tools,customer_id,model_url,input_size,model_framework,branch,customer,max_nsp,apps_version,platform_version,sdk_id,last_rel_sdk,jira_number,qpc_size_GB,compile_time,cores,curr_decode_tok_sec,curr_prefill_tok_sec,curr_total_tok_sec,curr_tpot_ms,curr_ttft_ms,decode_tok_sec_delta,dfs,host_app,instances,mos,ols,prefill_tok_sec_delta,prev_decode_tok_sec,prev_prefill_tok_sec,prev_total_tok_sec,prev_tpot_ms,prev_ttft_ms,tdp,total_tok_sec_delta,tpot_ms_delta,ttft_ms_delta,system_os,num_cards,status,failure_cause,is_regressed_decode,is_regressed_prefill,is_regressed_total,is_regressed_tpot,is_regressed_ttft,regression_code,avg_latency_sec,prev_avg_latency_sec,avg_latency_sec_delta,is_regressed_e2e_processed_tok_sec,is_regressed_e2e_generated_tok_sec,is_regressed_avg_latency_sec,derated_ttft(sec),derated_decode_tpt(tok/sec),derated_e2e_tpt(tok/sec),execution_time,derated_decode_tpt_per_card(tok/sec),derated_e2e_tpt_per_card(tok/sec),total_token_throughput_tok_sec,mean_ttft_sec,prev_total_token_throughput_sec,prev_mean_ttft_sec,total_token_throughput_sec_delta,mean_ttft_sec_delta,is_regressed_total_token_throughput_sec,is_regressed_mean_ttft_sec,e2e_tok_sec,prev_e2e_tok_sec,e2e_tok_sec_delta,is_regressed_e2e,is_regressed_avg_ttft_sec,request_throughput(req/s),output_token_throughput(tok/s),mean_tpot(ms),mean_itl(ms),prev_request_throughput_req_sec,prev_output_token_throughput_tok_sec,prev_mean_tpot_ms,prev_mean_itl_ms,is_regressed_request_throughput_req_sec,is_regressed_output_token_throughput_tok_sec,is_regressed_mean_tpot_ms,is_regressed_mean_itl_ms,request_throughput_req_sec_delta,output_token_throughput_tok_sec_delta,mean_tpot_ms_delta,mean_itl_ms_delta,median_dram_utilization_%,median_dram_bw_KBps,model_load_time(sec),prev_sdk_value,prev_sdk_branch
Jais-adapted-13b-chat,128,128,256,4,1,128,P2P,mx6,33.86,32.32,4.76,67.72,64.65,4.75,0.08,0.08,0.0,"cloud,LLM-KV-cache,1QPC,qnn_release",Jais-adapted-13b-chat-onnx-precision-mx6-bs-1-mos-default-ols-default-inst-1-bs-1-cl-256-gl-128-pl-128-cores-16,Linear_BS_mode,AIC.1.20.0.106_apps_AIC.1.20.0.106_platform,Gigabyte_16NSP_Ultra,vllm_fix_pl_gl,134394,https://huggingface.co/inceptionai/jais-adapted-13b-chat,NA,onnx,master,,,AIC.1.20.0.106_apps,AIC.1.20.0.106_platform,9420,AIC.1.19.1.27_apps_AIC.1.19.1.27_platform,-,14.45, 04:36:01,16,,,,,,,True,LLM-KV-Perf,1,NA,NA,,,,,,,,,,,ubuntu,,PASS,,,,,,,,,,,0.0,0.0,,NA,NA,NA,00:01:44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.76,155184.0,55.0,AIC.1.20.0.100_apps_AIC.1.20.0.100_platform,master
Jais-adapted-13b-chat,128,128,256,4,8,128,P2P,mx6,190.71,192.08,-0.71,381.41,384.17,-0.72,0.55,0.52,5.77,"cloud,LLM-KV-cache,1QPC,qnn_release",Jais-adapted-13b-chat-onnx-precision-mx6-bs-8-mos-default-ols-default-inst-1-bs-8-cl-256-gl-128-pl-128-cores-16,Linear_BS_mode,AIC.1.20.0.106_apps_AIC.1.20.0.106_platform,Gigabyte_16NSP_Ultra,vllm_fix_pl_gl,134397,https://huggingface.co/inceptionai/jais-adapted-13b-chat,NA,onnx,master,,,AIC.1.20.0.106_apps,AIC.1.20.0.106_platform,9420,AIC.1.19.1.27_apps_AIC.1.19.1.27_platform,-,14.46, 04:34:47,16,,,,,,,True,LLM-KV-Perf,1,NA,NA,,,,,,,,,,,ubuntu,,PASS,,,,,,,,,,,0.0,0.0,,NA,NA,NA,00:01:37,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,0.76,155184.0,46.0,AIC.1.20.0.100_apps_AIC.1.20.0.100_platform,master
Jais-adapted-13b-chat,128,128,256,4,16,128,P2P,mx6,278.98,272.29,2.46,557.95,544.59,2.45,1.08,1.03,4.85,"cloud,LLM-KV-cache,1QPC,qnn_release",Jais-adapted-13b-chat-onnx-precision-mx6-bs-16-mos-default-ols-default-inst-1-bs-16-cl-256-gl-128-pl-128-cores-16,Linear_BS_mode,AIC.1.20.0.106_apps_AIC.1.20.0.106_platform,Gigabyte_16NSP_Ultra,vllm_fix_pl_gl,134400,https://huggingface.co/inceptionai/jais-adapted-13b-chat,NA,onnx,master,,,AIC.1.20.0.106_apps,AIC.1.20.0.106_platform,9420,AIC.1.19.1.27_apps_AIC.1.19.1.27_platform,-,12.03, 03:53:34,16,,,,,,,True,LLM-KV-Perf,1,NA,NA,,,,,,,,,,,ubuntu,,PASS,,,,,,,,,,,0.0,0.0,,NA,NA,NA,00:01:25,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,0.76,155184.0,37.0,AIC.1.20.0.100_apps_AIC.1.20.0.100_platform,master
Jais-adapted-13b-chat,128,128,256,4,32,128,P2P,mx6,413.71,410.01,0.9,827.42,820.02,0.9,2.19,2.07,5.8,"cloud,LLM-KV-cache,1QPC,qnn_release",Jais-adapted-13b-chat-onnx-precision-mx6-bs-32-mos-default-ols-default-inst-1-bs-32-cl-256-gl-128-pl-128-cores-16,Linear_BS_mode,AIC.1.20.0.106_apps_AIC.1.20.0.106_platform,Gigabyte_16NSP_Ultra,vllm_fix_pl_gl,134403,https://huggingface.co/inceptionai/jais-adapted-13b-chat,NA,onnx,master,,,AIC.1.20.0.106_apps,AIC.1.20.0.106_platform,9420,AIC.1.19.1.27_apps_AIC.1.19.1.27_platform,-,12.09, 03:55:29,16,,,,,,,True,LLM-KV-Perf,1,NA,NA,,,,,,,,,,,ubuntu,,PASS,,,,,,,,,,,0.0,0.0,,NA,NA,NA,00:01:38,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,0.76,155184.0,46.0,AIC.1.20.0.100_apps_AIC.1.20.0.100_platform,master
Jais-adapted-13b-chat,2048,2048,4096,4,1,128,P2P,mx6,28.51,28.61,-0.35,57.01,57.21,-0.35,1.37,1.3,5.38,"cloud,LLM-KV-cache,1QPC,qnn_release",Jais-adapted-13b-chat-onnx-precision-mx6-bs-1-mos-default-ols-default-inst-1-bs-1-cl-4096-gl-2048-pl-2048-cores-16,Linear_BS_mode,AIC.1.20.0.106_apps_AIC.1.20.0.106_platform,Gigabyte_16NSP_Ultra,vllm_fix_pl_gl,134379,https://huggingface.co/inceptionai/jais-adapted-13b-chat,NA,onnx,master,,,AIC.1.20.0.106_apps,AIC.1.20.0.106_platform,9420,AIC.1.19.1.27_apps_AIC.1.19.1.27_platform,-,14.49, 04:35:47,16,,,,,,,True,LLM-KV-Perf,1,NA,NA,,,,,,,,,,,ubuntu,,PASS,,,,,,,,,,,0.0,0.0,,NA,NA,NA,00:02:35,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,0.76,155184.0,39.0,AIC.1.20.0.100_apps_AIC.1.20.0.100_platform,master
Jais-adapted-13b-chat,2048,2048,4096,4,4,128,P2P,mx6,66.19,65.95,0.36,132.38,131.89,0.37,5.46,5.21,4.8,"cloud,LLM-KV-cache,1QPC,qnn_release",Jais-adapted-13b-chat-onnx-precision-mx6-bs-4-mos-default-ols-default-inst-1-bs-4-cl-4096-gl-2048-pl-2048-cores-16,Linear_BS_mode,AIC.1.20.0.106_apps_AIC.1.20.0.106_platform,Gigabyte_16NSP_Ultra,vllm_fix_pl_gl,134382,https://huggingface.co/inceptionai/jais-adapted-13b-chat,NA,onnx,master,,,AIC.1.20.0.106_apps,AIC.1.20.0.106_platform,9420,AIC.1.19.1.27_apps_AIC.1.19.1.27_platform,-,14.51, 04:32:16,16,,,,,,,True,LLM-KV-Perf,1,NA,NA,,,,,,,,,,,ubuntu,,PASS,,,,,,,,,,,0.0,0.0,,NA,NA,NA,00:03:29,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,0.76,155184.0,39.0,AIC.1.20.0.100_apps_AIC.1.20.0.100_platform,master
Jais-adapted-13b-chat,2048,2048,4096,4,8,128,P2P,mx6,108.04,109.33,-1.18,216.08,218.66,-1.18,10.94,10.44,4.79,"cloud,LLM-KV-cache,1QPC,qnn_release",Jais-adapted-13b-chat-onnx-precision-mx6-bs-8-mos-default-ols-default-inst-1-bs-8-cl-4096-gl-2048-pl-2048-cores-16,Linear_BS_mode,AIC.1.20.0.106_apps_AIC.1.20.0.106_platform,Gigabyte_16NSP_Ultra,vllm_fix_pl_gl,134385,https://huggingface.co/inceptionai/jais-adapted-13b-chat,NA,onnx,master,,,AIC.1.20.0.106_apps,AIC.1.20.0.106_platform,9420,AIC.1.19.1.27_apps_AIC.1.19.1.27_platform,-,14.53, 04:38:39,16,,,,,,,True,LLM-KV-Perf,1,NA,NA,,,,,,,,,,,ubuntu,,PASS,,,,,,,,,,,0.0,0.0,,NA,NA,NA,00:03:56,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,0.76,155184.0,39.0,AIC.1.20.0.100_apps_AIC.1.20.0.100_platform,master
Jais-adapted-13b-chat,2048,2048,4096,4,16,128,P2P,mx6,102.71,101.86,0.83,205.42,203.71,0.84,20.84,20.67,0.82,"cloud,LLM-KV-cache,1QPC,qnn_release",Jais-adapted-13b-chat-onnx-precision-mx6-bs-16-mos-default-ols-default-inst-1-bs-16-cl-4096-gl-2048-pl-2048-cores-16,Linear_BS_mode,AIC.1.20.0.106_apps_AIC.1.20.0.106_platform,Gigabyte_16NSP_Ultra,vllm_fix_pl_gl,134388,https://huggingface.co/inceptionai/jais-adapted-13b-chat,NA,onnx,master,,,AIC.1.20.0.106_apps,AIC.1.20.0.106_platform,9420,AIC.1.19.1.27_apps_AIC.1.19.1.27_platform,-,12.07, 03:57:48,16,,,,,,,True,LLM-KV-Perf,1,NA,NA,,,,,,,,,,,ubuntu,,PASS,,,,,,,,,,,0.0,0.0,,NA,NA,NA,00:06:35,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,0.76,155184.0,35.0,AIC.1.20.0.100_apps_AIC.1.20.0.100_platform,master
Jais-adapted-13b-chat,2048,2048,4096,4,32,128,P2P,mx6,186.03,182.48,1.95,372.06,364.95,1.95,42.21,41.79,1.01,"cloud,LLM-KV-cache,1QPC,qnn_release",Jais-adapted-13b-chat-onnx-precision-mx6-bs-32-mos-default-ols-default-inst-1-bs-32-cl-4096-gl-2048-pl-2048-cores-16,Linear_BS_mode,AIC.1.20.0.106_apps_AIC.1.20.0.106_platform,Gigabyte_16NSP_Ultra,vllm_fix_pl_gl,134391,https://huggingface.co/inceptionai/jais-adapted-13b-chat,NA,onnx,master,,,AIC.1.20.0.106_apps,AIC.1.20.0.106_platform,9420,AIC.1.19.1.27_apps_AIC.1.19.1.27_platform,-,12.09, 04:15:27,16,,,,,,,True,LLM-KV-Perf,1,NA,NA,,,,,,,,,,,ubuntu,,PASS,,,,,,,,,,,0.0,0.0,,NA,NA,NA,00:07:10,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,0.76,155184.0,35.0,AIC.1.20.0.100_apps_AIC.1.20.0.100_platform,master
Jais-adapted-70B,128,128,256,8,1,128,P2P,mx6,11.82,-,-,23.64,-,-,0.23,-,-,"cloud,LLM-KV-cache,1QPC,qnn_release",Jais-adapted-70B-onnx-precision-mx6-bs-1-mos-default-ols-default-inst-1-bs-1-cl-256-gl-128-pl-128-cores-16,Linear_BS_mode,AIC.1.20.0.106_apps_AIC.1.20.0.106_platform,Gigabyte_16NSP_Ultra,vllm_fix_pl_gl,132420,https://huggingface.co/inceptionai/jais-adapted-70b,NA,onnx,master,,,AIC.1.20.0.106_apps,AIC.1.20.0.106_platform,9420,AIC.1.19.1.27_apps_AIC.1.19.1.27_platform,-,66.25, 02:07:37,16,,,,,,,True,LLM-KV-Perf,1,NA,NA,,,,,,,,,,,ubuntu,,PASS,,,,,,,,,,,,,,NA,NA,NA,00:05:27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.77,155184.0,232.0,AIC.1.20.0.100_apps_AIC.1.20.0.100_platform,master
