model,pl,gl,cl,mqts,bs,cpl,configuration,precision,output_token_throughput(tok/s),prev_output_token_throughput_tok_sec,output_token_throughput_tok_sec_delta,mean_ttft_sec,prev_mean_ttft_sec,mean_ttft_sec_delta,request_throughput(req/s),prev_request_throughput_req_sec,request_throughput_req_sec_delta,tag,config_id,execution_mode,sdk_version,platform,tools,customer_id,model_url,input_size,model_framework,branch,customer,max_nsp,apps_version,platform_version,sdk_id,last_rel_sdk,jira_number,qpc_size_GB,compile_time,cores,curr_decode_tok_sec,curr_prefill_tok_sec,curr_total_tok_sec,curr_tpot_ms,curr_ttft_ms,decode_tok_sec_delta,dfs,host_app,instances,mos,ols,prefill_tok_sec_delta,prev_decode_tok_sec,prev_prefill_tok_sec,prev_total_tok_sec,prev_tpot_ms,prev_ttft_ms,tdp,total_tok_sec_delta,tpot_ms_delta,ttft_ms_delta,system_os,num_cards,status,failure_cause,is_regressed_decode,is_regressed_prefill,is_regressed_total,is_regressed_tpot,is_regressed_ttft,regression_code,avg_latency_sec,e2e_processed_tok_sec,e2e_generated_tok_sec,prev_e2e_processed_tok_sec,prev_e2e_generated_tok_sec,prev_avg_latency_sec,e2e_processed_tok_sec_delta,e2e_generated_tok_sec_delta,avg_latency_sec_delta,is_regressed_e2e_processed_tok_sec,is_regressed_e2e_generated_tok_sec,is_regressed_avg_latency_sec,derated_ttft(sec),derated_decode_tpt(tok/sec),derated_e2e_tpt(tok/sec),execution_time,derated_decode_tpt_per_card(tok/sec),derated_e2e_tpt_per_card(tok/sec),total_token_throughput_tok_sec,prev_total_token_throughput_sec,total_token_throughput_sec_delta,is_regressed_total_token_throughput_sec,is_regressed_mean_ttft_sec,e2e_tok_sec,prev_e2e_tok_sec,e2e_tok_sec_delta,is_regressed_e2e,average_ttft(sec),prev_avg_ttft_sec,avg_ttft_sec_delta,is_regressed_avg_ttft_sec,mean_tpot(ms),mean_itl(ms),prev_mean_tpot_ms,prev_mean_itl_ms,is_regressed_request_throughput_req_sec,is_regressed_output_token_throughput_tok_sec,is_regressed_mean_tpot_ms,is_regressed_mean_itl_ms,mean_tpot_ms_delta,mean_itl_ms_delta,median_dram_utilization_%,median_dram_bw_KBps,model_load_time(sec),prev_sdk_value,prev_sdk_branch,prev_total_token_throughput_tok_sec,total_token_throughput_tok_sec_delta,is_regressed_total_token_throughput_sec_delta,is_regressed_mean_ttft_sec_delta
Jais-adapted-13b-chat,128,128,256,4,1,128,P2P,mx6,32.96,32.62,1.04,0.08,0.08,0.0,0.26,0.25,4.0,"cloud,LLM-KV-cache,1QPC,qnn_release,random_dataset",Jais-adapted-13b-chat-onnx-precision-mx6-bs-1-mos-default-ols-default-inst-1-bs-1-cl-256-gl-128-pl-128-cores-16,Linear_BS_mode,AIC.1.20.0.106_apps_AIC.1.20.0.106_platform,Gigabyte_16NSP_Ultra,vllm_server,136653,https://huggingface.co/inceptionai/jais-adapted-13b-chat,NA,onnx,master,,,AIC.1.20.0.106_apps,AIC.1.20.0.106_platform,9420,AIC.1.19.1.27_apps_AIC.1.19.1.27_platform,-,14.45, 04:36:01,16,,,,,,,True,LLM-KV-Perf,1,NA,NA,,,,,,,,,,,ubuntu,,PASS,,,,,,,,,,,,,,,,,,,,,,,00:00:18,,,65.92,,,None,None,,,,,,,,,29.97,29.97,30.29,30.29,0.0,0,0,0,-1.06,-1.06,0.76,154696.0,31.0,AIC.1.19.3.23_apps_AIC.1.19.3.23_platform,r1.19.3,65.24,1.04,0,
Jais-adapted-13b-chat,128,128,256,4,8,128,P2P,mx6,186.05,190.09,-2.13,0.48,0.46,4.35,1.45,1.49,-2.68,"cloud,LLM-KV-cache,1QPC,qnn_release,random_dataset",Jais-adapted-13b-chat-onnx-precision-mx6-bs-8-mos-default-ols-default-inst-1-bs-8-cl-256-gl-128-pl-128-cores-16,Linear_BS_mode,AIC.1.20.0.106_apps_AIC.1.20.0.106_platform,Gigabyte_16NSP_Ultra,vllm_server,136656,https://huggingface.co/inceptionai/jais-adapted-13b-chat,NA,onnx,master,,,AIC.1.20.0.106_apps,AIC.1.20.0.106_platform,9420,AIC.1.19.1.27_apps_AIC.1.19.1.27_platform,-,14.46, 04:34:47,16,,,,,,,True,LLM-KV-Perf,1,NA,NA,,,,,,,,,,,ubuntu,,PASS,,,,,,,,,,,,,,,,,,,,,,,00:00:23,,,372.1,,,None,None,,,,,,,,,39.51,39.51,38.73,38.73,0.0,0,0,0,2.01,2.01,0.76,154696.0,26.0,AIC.1.19.3.23_apps_AIC.1.19.3.23_platform,r1.19.3,380.18,-2.13,0,0.0
Jais-adapted-13b-chat,128,128,256,4,16,128,P2P,mx6,268.14,268.47,-0.12,0.91,0.96,-5.21,2.09,2.1,-0.48,"cloud,LLM-KV-cache,1QPC,qnn_release,random_dataset",Jais-adapted-13b-chat-onnx-precision-mx6-bs-16-mos-default-ols-default-inst-1-bs-16-cl-256-gl-128-pl-128-cores-16,Linear_BS_mode,AIC.1.20.0.106_apps_AIC.1.20.0.106_platform,Gigabyte_16NSP_Ultra,vllm_server,136659,https://huggingface.co/inceptionai/jais-adapted-13b-chat,NA,onnx,master,,,AIC.1.20.0.106_apps,AIC.1.20.0.106_platform,9420,AIC.1.19.1.27_apps_AIC.1.19.1.27_platform,-,12.03, 03:53:34,16,,,,,,,True,LLM-KV-Perf,1,NA,NA,,,,,,,,,,,ubuntu,,PASS,,,,,,,,,,,,,,,,,,,,,,,00:00:27,,,536.28,,,None,None,,,,,,,,,52.92,52.92,52.4,52.4,0.0,0,0,0,0.99,0.99,0.76,155184.0,16.0,AIC.1.19.3.23_apps_AIC.1.19.3.23_platform,r1.19.3,536.94,-0.12,0,0.0
Jais-adapted-13b-chat,128,128,256,4,32,128,P2P,mx6,392.66,399.19,-1.64,2.18,2.04,6.86,3.07,3.12,-1.6,"cloud,LLM-KV-cache,1QPC,qnn_release,random_dataset",Jais-adapted-13b-chat-onnx-precision-mx6-bs-32-mos-default-ols-default-inst-1-bs-32-cl-256-gl-128-pl-128-cores-16,Linear_BS_mode,AIC.1.20.0.106_apps_AIC.1.20.0.106_platform,Gigabyte_16NSP_Ultra,vllm_server,136662,https://huggingface.co/inceptionai/jais-adapted-13b-chat,NA,onnx,master,,,AIC.1.20.0.106_apps,AIC.1.20.0.106_platform,9420,AIC.1.19.1.27_apps_AIC.1.19.1.27_platform,-,12.09, 03:55:29,16,,,,,,,True,LLM-KV-Perf,1,NA,NA,,,,,,,,,,,ubuntu,,PASS,,,,,,,,,,,,,,,,,,,,,,,00:00:34,,,785.31,,,None,None,,,,,,,,,64.8,64.8,64.57,64.57,0.0,0,0,0,0.36,0.36,0.76,155184.0,16.0,AIC.1.19.3.23_apps_AIC.1.19.3.23_platform,r1.19.3,798.38,-1.64,0,1.0
Jais-adapted-13b-chat,2048,2048,4096,4,1,128,P2P,mx6,28.96,27.99,3.47,1.4,1.32,6.06,0.01,0.01,0.0,"cloud,LLM-KV-cache,1QPC,qnn_release,random_dataset",Jais-adapted-13b-chat-onnx-precision-mx6-bs-1-mos-default-ols-default-inst-1-bs-1-cl-4096-gl-2048-pl-2048-cores-16,Linear_BS_mode,AIC.1.20.0.106_apps_AIC.1.20.0.106_platform,Gigabyte_16NSP_Ultra,vllm_server,136665,https://huggingface.co/inceptionai/jais-adapted-13b-chat,NA,onnx,master,,,AIC.1.20.0.106_apps,AIC.1.20.0.106_platform,9420,AIC.1.19.1.27_apps_AIC.1.19.1.27_platform,-,14.49, 04:35:47,16,,,,,,,True,LLM-KV-Perf,1,NA,NA,,,,,,,,,,,ubuntu,,PASS,,,,,,,,,,,,,,,,,,,,,,,00:03:39,,,57.93,,,None,None,,,,,,,,,33.86,33.86,35.09,35.09,,0,0,0,-3.51,-3.51,0.76,155184.0,42.0,AIC.1.19.3.23_apps_AIC.1.19.3.23_platform,r1.19.3,55.99,3.46,0,1.0
Jais-adapted-13b-chat,2048,2048,4096,4,4,128,P2P,mx6,65.82,65.98,-0.24,4.49,4.29,4.66,0.03,0.03,0.0,"cloud,LLM-KV-cache,1QPC,qnn_release,random_dataset",Jais-adapted-13b-chat-onnx-precision-mx6-bs-4-mos-default-ols-default-inst-1-bs-4-cl-4096-gl-2048-pl-2048-cores-16,Linear_BS_mode,AIC.1.20.0.106_apps_AIC.1.20.0.106_platform,Gigabyte_16NSP_Ultra,vllm_server,136668,https://huggingface.co/inceptionai/jais-adapted-13b-chat,NA,onnx,master,,,AIC.1.20.0.106_apps,AIC.1.20.0.106_platform,9420,AIC.1.19.1.27_apps_AIC.1.19.1.27_platform,-,14.51, 04:32:16,16,,,,,,,True,LLM-KV-Perf,1,NA,NA,,,,,,,,,,,ubuntu,,PASS,,,,,,,,,,,,,,,,,,,,,,,00:06:00,,,131.63,,,None,None,,,,,,,,,58.61,58.61,58.55,58.55,,0,0,0,0.1,0.1,0.76,155184.0,46.0,AIC.1.19.3.23_apps_AIC.1.19.3.23_platform,r1.19.3,131.97,-0.26,0,0.0
Jais-adapted-13b-chat,2048,2048,4096,4,8,128,P2P,mx6,106.24,112.78,-5.8,9.86,9.41,4.78,0.05,0.06,-16.67,"cloud,LLM-KV-cache,1QPC,qnn_release,random_dataset",Jais-adapted-13b-chat-onnx-precision-mx6-bs-8-mos-default-ols-default-inst-1-bs-8-cl-4096-gl-2048-pl-2048-cores-16,Linear_BS_mode,AIC.1.20.0.106_apps_AIC.1.20.0.106_platform,Gigabyte_16NSP_Ultra,vllm_server,136671,https://huggingface.co/inceptionai/jais-adapted-13b-chat,NA,onnx,master,,,AIC.1.20.0.106_apps,AIC.1.20.0.106_platform,9420,AIC.1.19.1.27_apps_AIC.1.19.1.27_platform,-,14.53, 04:38:39,16,,,,,,,True,LLM-KV-Perf,1,NA,NA,,,,,,,,,,,ubuntu,,PASS,,,,,,,,,,,,,,,,,,,,,,,00:06:57,,,212.49,,,None,None,,,,,,,,,70.51,70.51,66.37,66.37,1.0,1,1,1,6.24,6.24,0.76,155184.0,37.0,AIC.1.19.3.23_apps_AIC.1.19.3.23_platform,r1.19.3,225.55,-5.79,1,0.0
Jais-adapted-13b-chat,2048,2048,4096,4,16,128,P2P,mx6,101.15,143.61,-29.57,20.03,20.16,-0.64,0.05,0.07,-28.57,"cloud,LLM-KV-cache,1QPC,qnn_release,random_dataset",Jais-adapted-13b-chat-onnx-precision-mx6-bs-16-mos-default-ols-default-inst-1-bs-16-cl-4096-gl-2048-pl-2048-cores-16,Linear_BS_mode,AIC.1.20.0.106_apps_AIC.1.20.0.106_platform,Gigabyte_16NSP_Ultra,vllm_server,136674,https://huggingface.co/inceptionai/jais-adapted-13b-chat,NA,onnx,master,,,AIC.1.20.0.106_apps,AIC.1.20.0.106_platform,9420,AIC.1.19.1.27_apps_AIC.1.19.1.27_platform,-,12.07, 03:57:48,16,,,,,,,True,LLM-KV-Perf,1,NA,NA,,,,,,,,,,,ubuntu,,PASS,,,,,,,,,,,,,,,,,,,,,,,00:14:16,,,202.29,,,None,None,,,,,,,,,148.47,148.47,101.61,101.61,1.0,1,1,1,46.12,46.12,0.76,155184.0,28.0,AIC.1.19.3.23_apps_AIC.1.19.3.23_platform,r1.19.3,287.21,-29.57,1,0.0
Jais-adapted-13b-chat,2048,2048,4096,4,32,128,P2P,mx6,183.04,175.86,4.08,41.67,41.83,-0.38,0.09,0.09,0.0,"cloud,LLM-KV-cache,1QPC,qnn_release,random_dataset",Jais-adapted-13b-chat-onnx-precision-mx6-bs-32-mos-default-ols-default-inst-1-bs-32-cl-4096-gl-2048-pl-2048-cores-16,Linear_BS_mode,AIC.1.20.0.106_apps_AIC.1.20.0.106_platform,Gigabyte_16NSP_Ultra,vllm_server,136677,https://huggingface.co/inceptionai/jais-adapted-13b-chat,NA,onnx,master,,,AIC.1.20.0.106_apps,AIC.1.20.0.106_platform,9420,AIC.1.19.1.27_apps_AIC.1.19.1.27_platform,-,12.09, 04:15:27,16,,,,,,,True,LLM-KV-Perf,1,NA,NA,,,,,,,,,,,ubuntu,,PASS,,,,,,,,,,,,,,,,,,,,,,,00:14:25,,,366.08,,,None,None,,,,,,,,,154.54,154.54,161.61,161.61,,0,0,0,-4.37,-4.37,0.76,155184.0,16.0,AIC.1.19.3.23_apps_AIC.1.19.3.23_platform,r1.19.3,351.72,4.08,0,0.0
Jais-adapted-70B,128,128,256,8,1,128,P2P,mx6,11.5,12.21,-5.81,0.23,0.24,-4.17,0.09,0.1,-10.0,"cloud,LLM-KV-cache,1QPC,qnn_release,random_dataset",Jais-adapted-70B-onnx-precision-mx6-bs-1-mos-default-ols-default-inst-1-bs-1-cl-256-gl-128-pl-128-cores-16,Linear_BS_mode,AIC.1.20.0.106_apps_AIC.1.20.0.106_platform,Gigabyte_16NSP_Ultra,vllm_server,134883,https://huggingface.co/inceptionai/jais-adapted-70b,NA,onnx,master,,,AIC.1.20.0.106_apps,AIC.1.20.0.106_platform,9420,AIC.1.19.1.27_apps_AIC.1.19.1.27_platform,-,66.25, 02:07:37,16,,,,,,,True,LLM-KV-Perf,1,NA,NA,,,,,,,,,,,ubuntu,,PASS,,,,,,,,,,,,,,,,,,,,,,,00:00:39,,,23.0,,,None,None,,,,,,,,,85.86,85.86,80.68,80.68,1.0,1,1,1,6.42,6.42,14.405,35304360.0,170.0,AIC.1.19.3.23_apps_AIC.1.19.3.23_platform,r1.19.3,24.42,-5.81,1,0.0
Jais-adapted-70B,128,128,256,8,8,128,P2P,mx6,74.67,73.76,1.23,1.57,1.5,4.67,0.58,0.58,0.0,"cloud,LLM-KV-cache,1QPC,qnn_release,random_dataset",Jais-adapted-70B-onnx-precision-mx6-bs-8-mos-default-ols-default-inst-1-bs-8-cl-256-gl-128-pl-128-cores-16,Linear_BS_mode,AIC.1.20.0.106_apps_AIC.1.20.0.106_platform,Gigabyte_16NSP_Ultra,vllm_server,134886,https://huggingface.co/inceptionai/jais-adapted-70b,NA,onnx,master,,,AIC.1.20.0.106_apps,AIC.1.20.0.106_platform,9420,AIC.1.19.1.27_apps_AIC.1.19.1.27_platform,-,66.29, 02:06:25,16,,,,,,,True,LLM-KV-Perf,1,NA,NA,,,,,,,,,,,ubuntu,,PASS,,,,,,,,,,,,,,,,,,,,,,,00:00:45,,,149.34,,,None,None,,,,,,,,,95.54,95.54,97.47,97.47,,0,0,0,-1.98,-1.98,14.57,34750480.0,132.0,AIC.1.19.3.23_apps_AIC.1.19.3.23_platform,r1.19.3,147.51,1.24,0,0.0
